公交 公交站点一览表|||||||
"线路
名称"|起点名称|讫点名称|起点时间||讫点时间||途经站点
|||首班|末班|首班|末班|
112|徐州东站|鼓楼生态园|6:00|19:00|6:30|19:30|徐州东站北, 金色年华（单），科技大厦 , 君廷湖畔,城置国际花园城 , 蟠桃花园二村,蟠桃花园,旺旺家园（招呼站）, 仁慈医院,桃园小区,金山桥大厦东（招呼站）,金山桥大厦（招呼站）,鼓楼法院，基桩公司 , 二十四中, 杨庄, 杨庄农贸市场,广山路北口,二九宿舍 ,下淀瑞博医院,下淀桥西,堤北市场,地质五队宿舍,建材中专,港南小区, 鼓楼区政府,马场村 ,华夏集团,奔腾大道路口 
118|徐州站|刘庄|7:45|18:00|6:10|16:50|宣武市场,宣武市场南门,和平桥（北）,妇幼保健院,和平路,市四院,纪念塔，奎园北门,农副产品市场,陶瓷市场,汽车南站,技工学校,淮海文博园（食品城）,两山口,建材市场,沟北头,火神庙,沟杨庄,冯庄,宋桥,棠张,棠张实验小学,五岔路口西,跃进小学,前进,郎庄,刘塘,陶楼,前韩,官庄,刘庄
10快|徐州东站|文化宫|8:30|18:00|8:30|18:00|文化宫，徐州站（蓝天），九七医院，东甸子，宗申产业园
11附|居乐园|徐州站|6:10|21:20|6:53|22:00|铜山中医院（路西，单）,新区国税局（路西，单）,公寓南门（路南，单）,师大公寓（路南，单），新区邮电局，师范学校,师大新校,文沃市场,风华南苑,风华园,矿业大学,侯山窝,奎园西门,纪念塔,市四院,和平路,师大北门,中医院,中山饭店,中央百大,供销大厦,万虹桥电子市场（文化宫）
13附|徐州站|丁楼|6:40|19:00|6:00|19:00|煤建三处,煤建五处,汉城小区,九里医院（苏山头）,格瑞实业公司,铜山货场,西苑西口,民乐园,西苑小区,民和园，出入境办理中心，矿山加油站，工程机械厂，矿务局华美商厦,工人医院口腔医院,市二院,浦发银行
118附|徐州站|马兰|6:00|18:20|5:50|17:40|宣武市场,宣武市场南门,和平桥（北）,妇幼保健院,和平路,市四院,纪念塔，奎园北门,农副产品市场,陶瓷市场,汽车南站,技工学校,淮海文博园（食品城）,两山口,建材市场,沟北头,火神庙,沟杨庄,冯庄,宋桥,棠张,缫丝厂,双井,牌坊 
游1|矿大南湖校区|奔腾公交首末站|6:00|19:20|6:20|19:20|泉山公园,泉山法院,双山,风华园,矿业大学,侯山窝,奎园西门,纪念塔,市四院,和平路,戏马台,中国人寿,中山堂,民主路小学,爱牙医院（市三院）,堤北,堤北农贸市场,电力医院,轻工路口,奔腾大道东口（路北，单）,奔腾公交首末站（路东，单）,苹果汇邻湾（路西，单）
游2北行|建筑学院（环线）|建筑学院（环线）|6:00|19:00|||铜山中学，翟山市场，翟山，矿业大学，侯山窝，奎园西门，纪念塔，市四院，和平路，妇幼保健院，袁桥，恩华大厦，民主南路，文化宫，第三中学，创意68产业园，牌楼，夹河街东口，第一中学，夹河街西口，市二院西门，工商局，电视塔，云龙公园西门，银湖小区东，云龙山隧道，滨湖公园东门，云龙山索道，金山公园，金泰小区，市财校，营房西门，营房东门，孟庄公寓，泰山汇景花园，大学城，矿业大学，风华园，风华南苑，文沃市场，建筑学院
游2西行|建筑学院（环线）|建筑学院（环线）|6:00|19:00|西行||文沃市场，风华南苑，风华园，矿业大学，大学城，泰山汇景花园，孟庄公寓，营房东门，营房西门，市财校，金泰小区，金山公园，云龙山索道，滨湖公园东门，云龙山隧道，银湖小区东，云龙公园西门，电视塔，工商局，市二院西门，夹河街西口，第一中学，夹河街洞口，牌楼，创意68产业园，第三中学，文化宫，民主南路，恩华大厦，袁桥，妇幼保健院，和平路，市四院，纪念塔，奎园西门，侯山窝，矿业大学，翟山，翟山市场，铜山中学
游3|彭城饭店（银座）|徐州乐园|6:50|18:30|7:40|18:50|"珠山,钓鱼岛,天师广场,观鱼沉水廊道,南湖水街,金山公园,云龙山索道,滨湖公园东门,云龙山,中医院,中山饭店，中央百大（单）
"
专1|徐州站|汽车南站|6:00|18:30|6:20|19:00|徐州站（蓝天）,天桥,上海路局徐州办事处,徐医附三院,汉桥,农副产品市场,陶瓷市场
专2|新一佳淮西店|徐州技师学院|7:00|18:00|7:22|18:30|段庄,段庄广场，水漫桥,西苑小区,民乐园，黄河北路口，西城汽车市场，黄河建材家居城
201|鼓楼生态园|火车西站|6:30|18:00|7:00|18:40|滨河花园，苹果汇邻湾，轻工路口，电力医院，堤北农贸市场，堤北市场，新建北村，四道街，烟厂，市三院，坝子街
206|奥体中心|奥体中心|6:30|21:00|6:30|21:00|新元公寓，大韩，未来城，美的广场，汉源国际丽城，万福世家，工程学院，月桥花院，华顿国际学校，潇湘路，碧桂园，经十路小学，国信上城，楚韵路，惠民四路（单），潘塘医院（单），金桥超市（单），惠民农贸市场南门（单），塘坊小区（单），惠民四路路口（单），楚韵路口，国信上城，经十路小学，碧桂园，潇湘路，华顿国际学校，月桥花院，工程学院，万福世家，汉源国际丽城，美的广场，未来城，大韩，新元公寓
207|人才家园公交首末站|徐州医学院|7:00|17:30|7:30|18:30|明正路，元和路，市行政中心，行政中心西门，市行政中心，元和路，明正路，林果场，马庄，管庄大沟，前坝，芦庄，绿地高铁新城，徐工人才家园，广度医药，布兰肯，银地，欧蓓莎，徐州东站北，金色年华，科技大厦，君庭湖畔，宗申产业园
208|陶楼首末站|大黄山实验小学|7:00|17:30|7:30|18:30|今日彩印（单），徐工科技（单），筑路公司（单），陶楼首末站，徐工集团总部，徐工基础，新迈机械，巴特，光环传动轴，再生能源，金山桥热电厂，保利协鑫，九州物流，大黄山镇政府，大黄山信用社
209|碧螺山庄东门|大黄山森林公园|7:00|17:30|7:30|18:30|碧螺山庄东门，金山桥大厦东，金山桥大厦，招呼站，东环办事处，淮海蔬菜市场（单），荆山路口，螺山路口，稼悦小区，刘湾，刘湾水厂，火花钢构，统一集团，舟桥连，诺吉物流，星丰金属，江苏精工，宝通物流
77|新一佳淮西店|雨润物流园|7:00|17:10|7:50|18:00|段庄，段庄广场，矿山加油站，出入境办理中心，徐医附院华丰分院，奎山散热器公司，生物工程学院北门，火花农贸市场，雨润新城，雨润物流园
99|公交修造厂|国信龙湖世家北门|6:50|17:30|7:10|18:00|市中级法院，淮西客运站，开元四季，杏山花园，徐州乐园，矿大南湖校区，泉山公园，泉山法院，双山，风华园，翟山，矿大南门，工程学院，御景湾小区，迎宾大道，淮海食品城，拖龙山公园，彭祖大道，大龙湖，秦郡路，行政中心，市行政服务中心
|||||||
3|徐州站|徐州东站|6:30|19:40|6:30|19:40|徐州站（朝阳）（单向），四道街，地下道，二七宿舍，白云山，下淀瑞博医院，二九宿舍，广山路北口，杨庄农贸市场，杨庄，二十四中，基桩公司，东环办事处，今日彩印，省经贸学校，石桥，金山桥公交停车场，杨山路公交首末站，蟠桃花园，万豪绿城，西贺农贸市场，晓山社区，金山桥实验学校，东贺居委会，徐州东站（高铁站）北
3附|徐州站|宝莲寺|6:10|19:40|5:40|19:00|徐州站(朝阳)（单向），四道街，地下道，二七宿舍，白云山，下淀瑞博医院，二九宿舍，广山路北口，杨庄农贸市场，杨庄，二十四中，基桩公司，鼓楼法院，金山桥大厦，金山桥大厦东，桃园小区，仁慈医院，旺旺家园，金山桥停车场
|徐州站|万豪绿城（夜班）|19:40|22:00|20:20|21:30|徐州站(朝阳)（单向），四道街，地下道，二七宿舍，白云山，下淀瑞博医院，二九宿舍，广山路北口，杨庄农贸市场，杨庄，二十四中，基桩公司，鼓楼法院，金山桥大厦，东环办事处，今日彩印，省经贸学校，石桥，教育集团，桃园小区，仁慈医院，旺旺家园，杨山路公交首末站，蟠桃花园，青岛啤酒厂，西贺农贸市场
50|徐州站|绿地世纪城|5:40|21:40|5;50|22:00|青年路口，宣武市场，天桥东，王杰部队，九七医院，铜山路口（单向），黄山干休所，金狮小区，民富园路口，三环路口，民富园西门，民富园，铁路民祥园
73|大福源超市|杨山路公交首末站|6:20|20:20|5;40|19:40|工院永安校（教育学院），永安广场，市二院南（财苑小区），中央百大，供销大厦，兴隆国际大酒店，民主路小学，爱牙医院，市三院，烟厂，四道街，新建北村，下淀桥西，下淀瑞博医院，二九宿舍，广山路北口，杨庄农贸市场，杨庄，二十四中，基桩公司，鼓楼法院，金山桥大厦，东环办事处，今日彩印，省经贸学校，石桥，教育集团，桃园小区，仁慈医院，旺旺家园
601（南行）|徐州站|徐州站（环行）|6:30|19:00|6:30|19:00|徐州站（蓝天），天桥，上海路局徐州办事处，徐医附三院，铁五小（招呼站），汉桥，奎园北门，纪念塔，凤凰山庄，康居小区，泉山检察院，彭园西门，隧道西口，泉山医院，滨湖公园北门，体育中心，纺南小区，湖滨路口，建国路西口，大福源超市，矿务局，儿童医院，合群新村（苏堤路），畔园小区，苏堤北路口（招呼站），永业小区，江苏四监，铜沛路东口，北路口（南行单向），后勤学院，港南小区，建材中专，地质宿舍，堤北市场，新建北村，四道街
602|红星家具城|淮海文博园（食品城）|5:50|19:00|6:25|19:40|淮东家具城，八里屯，钟山机动车检测中心，王场新村，二环路口，新建北村，四道街，徐州站（朝阳），徐州站（蓝天），天桥，上海路局徐州办事处，徐医附三院，汉桥，农副产品市场，陶瓷市场，汽车南站
603|西苑人家|淮海文博园（食品城）|6:00|19:00|6:20|19:40|民馨园，西苑小区，西苑东口，民安园，矿山加油站（江北修理厂），矿山路加油站（单向），段庄广场，段庄，煤建西路，矿务局，永安广场，工商局（单向），电视塔，云龙公园西门，云龙公园南门，云龙山，彭园西门，泉山检察院，康居小区，凤鸣路（凤凰山庄），纪念塔，奎园北门，农副产品市场，陶瓷市场，汽车南站
604|西苑人家|风华园|6:00|18:30|6:30|18:30|,民馨园，西苑小区，西苑东口，水漫桥，沈场市场，合群新村，合群新村（苏堤路），儿童医院，工人医院，市二院西门，市二院南（财苑小区），解放桥，中山饭店，中医院，云龙山，彭园西门，泉山检察院，康居小区，凤鸣路（凤凰山庄），纪念塔，奎园西门，侯山窝，矿业大学
605|万科城|郭庄路停保场|6:00|19:30|6:15|19:30|煤建四处东院，马场湖，绿健乳业，二十六中学，马场村，祥和小区，祥和东口，电力医院，堤北农贸市场，堤北，爱牙医院，民主路小学，创意68产业园，第三中学，文化宫，民主南路，恩华大厦，袁桥，徐医附三院，骆驼山桥，强华骨科医院，楚王陵，郭庄路口（单向），民富园路口（单向），三环路口，民富园西门，民富园，铁路民祥园，绿地世纪城，康馨园东，四季雅苑，树人中学云龙校区
606|徐州医学院|韩山公交首末站|6:00|19:00|6:00|19:00|东甸子，东方人民医院，城建家园，小坝山，九七医院，王杰部队，天桥东，天桥，上海路局徐州办事处，妇幼保健院，师大北门，中医院，海云大厦，云龙公园北门，余窑，工院永安校区（教育学院），大福源超市，建国路西口，湖滨路口，纺南小区，金府家园，湖滨市场
607|淮东家具城|韩山公交首末站|6:30|19:00|6:30|19:00|八八里屯，钟山机动车检测中心，王场新村东门，二环路口，新建北村，四道街，烟厂，市三院，爱牙医院，民主路小学，兴隆国际大酒店，青年路小学，市交通银行，解放桥，市二院南（财苑小区），工商局，电视塔，吴庄花园，矿总医院，新吴庄，体育中心，金府家园，湖滨市场
607附|淮东家具城|金驹物流园|7:30|18:00|8:00|18:20|殷庄社区，德客乐家具广场，金地五金城
608|西苑|徐州医学院|5:30|22:00|6:00|22:00|民乐园，西苑小区，西苑东口，水漫桥，沈场市场，合群新村，合群桥，黄河新村，事业小区，市二院，浦发银行古彭大厦，中央百大，市交通银行，中山饭店，中医院，师大北门，妇幼保健院，徐医附三院，骆驼山桥，强华骨科医院，楚王陵，君悦园，阳光花园，康馨园，绿地世纪城，绿地世纪城西门，民祥园农贸市场，黄山新村东，东甸子，东方人民医院
609|红星家具城|风华园|6:00|19:00|6:30|19:00|淮东家具城，八里屯，钟山机动车检测中心，王场新村，轻工路口，电力医院，堤北农贸市场，堤北，爱牙医院，民主路小学，创意68产业园，第三中学，文化宫（万虹桥电子市场），青年路口，宣武市场，宣武市场南门，和平桥，妇幼保健院，和平路，四院，凤鸣路（凤凰山庄），康居小区，文化城，泰山西坡，营房西门，金泰小区，金山花园，泉山法院，泉山美墅
610|金山桥|韩山公交首末站|6:00|20:00|6;00|20:00|装载机厂，筑路公司，碧螺山庄农贸市场，今日彩印，东环办事处，基桩公司，二十四中，杨庄，杨庄农贸市场，广山路北口，二九宿舍，下淀瑞博医院，白云山，二七宿舍，地下道，四道街，烟厂，市三院，坝子街，火车西站，北路口，夹河街东口，第一中学，夹河街西口，市二院西门，永安广场，工院永安校区（教育学院），大福源超市，建国路西口，湖滨路口，纺南小区，金府家园，湖滨市场
611|御景湾|古彭广场|6:30|19:30|6:30|19:00|淮海文博园（食品城），汽车南站东门，汽配城，机场路口，楚王陵，强华骨科医院，骆驼山桥，徐医附三院，妇幼保健院，戏马台，中国人寿，供销大厦（单向），彭城饭店（银座），中国人寿北（单向）
612|万科城|郭庄路停保场|6:00|19:30|6:30|19:30|煤建四处东院，怡康花园，九龙湖公园，后勤学院，北路口，金地商都，供销大厦，中国人寿，戏马台，妇幼保健院，金狮小区，民富园北门，民祥园，铁路民祥园，绿地世纪城，庆丰路，金洋紫金东郡，云苑路
