公交 公交站点一览表|||||||
"线路
名称"|起点名称|讫点名称|起点时间||讫点时间||途经站点
|||首班|末班|首班|末班|
22|云龙公园南门|汉王公墓|6:30|11:00|7:00|11:30|滨湖公园东门，金山公园，金山村，茶棚，张伯英纪念馆，矿大南湖校区，国基城邦，徐林，桥上
贾1路|贾汪老站|机电高职校|6:30|18:00|7:30|18:30|乐尚新天地，矿二院，龙山汉景园大酒店，贾汪欧蓓莎，夏桥义乌小商品城，夏桥医院，新夏路口，世纪明珠，泉西村（菜市场），新工区，泉东村，徐州七中，师大贾汪分校
25|贾汪客运站|徐州站|5:00|20:00|5:00|21:30|贾汪客运站，贾汪烟草公司，贾汪电影院，贾汪二院，东方宾馆，贾汪电业局，北宿舍，老东门，夏桥，新夏路口，东方热电厂，贾汪工业园，韩场，鹿庄，韩园，蔡庄，老大吴，建平，新大吴，解台（招呼站），虎山，大黄山矿一院，大黄山圆盘道，工人村，清洁产业园，欧蓓莎，君廷湖畔，医学院，东甸子，九七医院（单）
25区间|贾汪客运站|大吴站|6:10|18:20|6:10|18:20|宏安路口，老公交站，乐尚新天地，矿二院，龙山汉景园大酒店，贾汪欧蓓莎，夏桥义乌小商品城，夏桥医院，新夏路口，贾汪汽配城，小南湖，工业园，风机厂，段庄，鹿庄，两妥（招手站），韩园，蔡庄，老大吴，建平
26|江苏安全技术职业学院|徐州站|6:30|19:00|5:30|17:40|师大贾汪分校，七中路口，泉东村，新工区，泉西村，新夏路口，东方热电厂，贾汪工业园，韩场，鹿庄，韩园，蔡庄，老大吴，建平，新大吴，解台（招呼站），虎山，大黄山矿一院，大黄山圆盘道，工人村，清洁产业园，徐州东站，科技大厦，医学院，东甸子，九七医院（单）
28|贾汪老站|利国|6:00|18:00|6:00|18:30|烟草公司，汉都华庭，大李庄，中联水泥，小杏窝，大杏窝，关口，赵桥，江庄，铙钹，黄山，水泥二厂，马鞍桥头，龙山水泥厂，伟天化工，东兴焦化，万庄路口，万庄，祁庄，马园，郝家，蔡庄
31|新一佳淮西店|马庄矿|6:00|18:00|6:35|18:40|段庄,市六院,徐医附院西院，公交修造厂,淮西客运站,矿山医院,杏山花园,屯里,南望,汉王,纪庄,虎腰,白头
32|徐州东站|彭城饭店（银座）|5:45|19:00|6:30|19:40|美的城,科技大厦南门，和平路东口,云龙区政府,庆丰路,绿地世纪城,铁路民祥园,民祥园,民富园北门,金狮小区,袁桥(民主南路),恩华大厦,中国人寿北,中央百大（路东 单）
33|刘湾机电市场|彭城饭店（银座）|6:00|19:00|6:30|19:40|刘湾村南,桃山路口，螺山路口，荆山路口，淮海蔬菜市场（路东，单），基桩公司 , 二十四中, 杨庄,杨庄农贸市场,广山路北口,二九宿舍,下淀瑞博医院,下淀桥西 ,堤北市场,地质五队宿舍,建材中专,港南小区,后勤学院,北路口,金地商都,中央百大(路东，单) 
34|韩山村南|红星美凯龙|5:50|19:00|6:30|19:45|滨湖花园,湖滨市场,金府家园,体育中心,滨湖公园北门,泉山医院,银湖小区东,云龙医院西门,电视塔,工商局,市二院西门,夹河街西口,第一中学,夹河街东口,北路口,后勤学院,鼓楼区政府,马场村,祥和小区,祥和路东,王场新村北,王场新村,钟山机动车检测中心,八里屯,淮东家具城,华隆家具城
35|淮西客运站|风华园|5:50|19:00|6:10|19:40|市中级法院,公交修造厂,徐医附院西院,段南新村,段庄,矿务局华美商厦,工人医院,市二院西门,工商局,云龙公园北门,海云大厦,中医院,云龙山东,积翠新村,市四院,纪念塔,奎园西门,侯山窝,矿业大学
36|建筑学院|八里建材家居中心|"夏5:50
冬5:50"|夏19:40冬19:10|"夏6:00
冬6:00"|"夏19:40
冬19:10"|建筑学院（上海路口），铜山中学,翟山市场,翟山,矿业大学,侯山窝,奎园西门,奎园北门,汉桥,徐医附三院,上海路局徐州办事处,天桥,徐州站（蓝天）,徐州站（朝阳）,四道街,新建北村,二环北路,王场新村东门,钟山机动车检测中心,八里屯,淮东家具城,华隆家具城
37|聋哑学校|彭城饭店（银座）|6:20|19:15|6:00|19:00|西游记宫,龟山汉墓,九里街道办事处,工业学院西门,一中分校,汉城，汉城路口,苏山头,格瑞实业公司,铜山货场（路东，单）,西苑西口,西苑小区,西苑东口,水漫桥,沈场市场,合群新村,合群桥,黄河新村,事业小区,市二院,浦发银行，彭城饭店（银座），中央百大（路东，单）
38|西苑小区（环线）|西苑小区（环线）|6:00|19:30|||民乐园，西苑小区，西苑东口,水漫桥,沈场市场,合群新村,合群桥,黄河新村,北关游泳池,庆云桥,金地商都,中央百大,中山饭店,中医院,云龙山,云龙山隧道,泉山医院,滨湖公园北门,体育中心,纺南小区,湖滨路口,段庄广场,物园小区,疾控中心,水漫桥,西苑东口，西苑小区，民乐园
38路夜班（南行）|西苑小区（环线）|西苑小区（环线）|19:40|22:00|||民乐园，西苑小区，西苑东口，民安园，矿山加油站，段庄广场，湖滨路口，纺南小区，体育中心，滨湖公园北门，泉山医院，云龙山隧道，云龙山，中医院，中山饭店，中央百大，金地商都，庆云桥，北关游泳池，黄河新村，合群桥，合群新村，沈场市场，水漫桥，西苑东口，西苑小区，民乐园
38路夜班（东行）|西苑小区（环线）|西苑小区（环线）|19:40|22:00|||民乐园，西苑小区，西苑东口，水漫桥，沈场市场，合群新村，合群桥，黄河新村，北关游泳池，庆云桥，金地商都，中央百大，中山饭店，中医院，云龙山，云龙山隧道，泉山医院，滨湖公园北门，体育中心，纺南小区，湖滨路口，段庄广场，矿山加油站（矿山路），矿山加油站，民安园，西苑东口，西苑小区，民乐园
39|矿大南湖校区|西苑人家|6:10|19:20|6:20|19:20|茶棚,金山村,金泰小区,市财校,泰山西坡,文化城,康居小区,康居小区东,凤鸣路,市四院,和平路,戏马台,中国人寿,供销大厦,金地商都,夹河街东口,第一中学,夹河街西口,黄河新村,合群桥,合群新村,沈场市场,水漫桥,西苑东口,西苑小区,民馨园
46西行|郭庄路停保场（环线）|郭庄路停保场（环线）|6:00|18:50|||"郭庄路停保场，树人中学云龙校区，四季雅园,康馨园,绿地世纪城,绿地世纪城西,民祥园农贸市场,黄山新村东,黄山小学,黄山新村（路北，单）,黄山市场,黄山干休所（路东，单），九七医院,王杰部队,天桥东,宣武市场（路东，单）,百惠家美时,公园巷小学,青年路小学,彭城饭店（银座）,兴隆国际大酒店，民主路小学,爱牙医院,市三院,烟厂,四道街,大庆路（路南，单）,响山,响山路东,培训中心,铜山路口（路西，单）,黄山市场,黄山小学,黄山新村东,民祥园农贸市场,绿地世纪城西,绿地世纪城,康馨园，四季雅园，树人中学云龙校区，郭庄路停保场   
"
46北行|郭庄路停保场（环线）|郭庄路停保场（环线）|6:00|18:50|||郭庄路停保场，树人中学云龙校区，四季雅园,康馨园,绿地世纪城,绿地世纪城西,民祥园农贸市场,黄山新村东,黄山小学,黄山新村（路北，单）,黄山市场,黄山干休所（路东，单）,铜山路口（路东，单）,培训中心,响山路东,响山，地下道（路北，单）,四道街,烟厂,市三院,爱牙医院,民主路小学,兴隆国际大酒店,彭城饭店（银座）,青年路小学,公园巷小学,百惠家美时,徐州站（老火车站蓝天，青年路，路北 单）,天桥东,王杰站,九七医院,铜山路口,黄山市场,黄山小学,黄山新村东,民祥园农贸市场,绿地世纪城西,绿地世纪城,康馨园，四季雅园，树人中学云龙校区，郭庄路停保场
46路夜班|郭庄路停保场（环线）|郭庄路停保场（环线）|19:00|21:30|||郭庄路停保场，树人中学云龙校区，四季雅园，康馨园，绿地世纪城，绿地世纪城西，民祥园农贸市场，黄山新村东，黄山小学，黄山新村（路北，单），黄山市场，铜山路口（路西，单），九七医院，王杰部队，天桥东，宣武市场（单），徐州站（青年路口）（单），百惠家美时，公园巷小学，青年路小学，中央百大（路东，单），彭城饭店（银座）
47|万寨村|矿大南湖校区|6:00|18:20|6:45|19:15|琵琶村北 ,琵琶村南, 彭场,金地五金城,德客乐家居广场,殷庄社区,苹果汇邻湾,奔腾大道东口,祥和四季花园,华厦水云间,华厦集团,马场村,鼓楼区政府,后勤学院,北路口，金地商都（路东，单），市一院（路西，单）,中央百大,市交通银行,中山饭店,中医院,云龙山,滨湖公园东门,云龙山索道,金山公园,金山村,茶棚 
48|鼓楼生态园（环线）|鼓楼生态园（环线）|5:50|22:00|||金马路路口,荆南小区 ,华厦集团,马场村（中山路）,鼓楼区政府,后勤学院,北路口,金地商都,供销大厦,万虹桥电子市场（文化宫）,徐州站（朝阳）,四道街,新建北村,二环北路,王场新村东门,王场新村,祥和路东,祥和小区, 马场村（祥和路）,华厦集团,荆南小区,金马路路口
49|绿地世纪城|公交修造厂|6:00|19:30|6:00|19:30|民富园，民富园西门，三环路口，楚王陵，强华骨科医院，骆驼山桥，徐医附三院，妇幼保健院，师大北门，云龙公园南门，银湖小区东，泉山医院，滨湖公园北门，体育中心，纺南小区，湖滨路口，湖滨新村，段南新村
51|徐州站|国基城邦|6:00|19:30|6:00|19:30|万虹桥电子市场（文化宫）,公园巷小学,中国人寿,戏马台,和平路,市四院,纪念塔,奎园西门,侯山窝,大学城,泰山汇景花园,孟庄公寓,营房东门,营房西门,市财校,金泰小区,金山村,茶棚 ,张伯英艺术馆,矿大南湖校区，科教聚集区
52|民馨园|绿地世纪城|6:00|19:20|6:00|19:20|西苑小区,西苑东口,水漫桥,沈场市场,合群新村,合群桥,黄河新村,夹河街西口,第一中学,夹河街东口,牌楼,兴隆国际大酒店,万虹桥电子市场（文化宫）,青年路口,宣武市场（黄河西路）,天桥东,王杰部队,九七医院,铜山路口（路西，单）,黄山干休所（路东，单）,金狮小区,民富园路口（路东，单）,三环路口,民富园西门，民富园
53|火车西站|风华园|6:30|18:00|6:30|18:00|西阁街,徐州监狱,事业小区,市二院西门,工商局,电视塔,云龙公园西门,云龙公园南门,云龙山,彭园西门,泉山检察院,文化城,泰山西坡,营房西门,金泰小区,金山花园,森林公园东门,碧水湾小区,泉山美墅东门
55|陶楼公交首末站|滨湖公园东门|6:00|18:20|6:40|19:05|筑路公司,碧螺山庄农贸市场,今日彩印,东环办事处,基桩公司,二十四中,杨庄,杨庄农贸市场,广山路北口,二九宿舍,下淀瑞博医院,白云山 ,二七宿舍,地下道 ,四道街,徐州站(朝阳),徐州站(蓝天)(单),百惠家美时, 公园巷小学, 青年路小学,市交通银行,中山饭店,海云大厦,云龙公园北门,电视塔 ,云龙公园西门,银湖小区东,云龙山隧道 
55路夜班|陶楼公交首末站|滨湖公园东门|18:20|21:20|19:15|22:00|筑路公司，碧螺山庄农贸市场，今日彩印，东环办事处，基桩公司，二十四中，杨庄，杨庄农贸市场，广山路北口，二九宿舍，下淀瑞博医院，白云山，二七宿舍，地下道，四道街，烟厂，市三院，爱牙医院，民主路小学，牌楼，金地商都，市一院，中央百大，市交通银行，中山饭店，海云大厦，云龙公园北门，电视塔，云龙公园西门，银湖小区东，云龙山隧道
57|奔腾公交首末站|湖滨二小|6:00|21:00|6:20|21:40|滨河花园,金马路路口,荆南小区,华厦集团 ,马场村,鼓楼区政府,后勤学院,北路口,金地商都,浦发银行,市二院,工人医院口腔医院,矿务局南,大福源超市,矿总医院,新吴庄,体育中心,金府家园,滨湖花园
59|开元四季（环线）|开元四季（环线）|6:10|19:40|||"开元路东口,王窑,三环西路环岛,淮西客运站,市中级法院,公交修造厂,徐医附院西院,段南新村,段庄,矿务局华美商厦,工人医院,市二院西门,永安广场,工院永安校区,大福源超市,建国路西口,湖滨路口,湖滨新村,湖滨一小,滨湖花园,韩山村南,开元名都,水上运动中心,南湖花园小区,杏山花园,开元路东口
"
62|汉泉山庄|新建北村|6:20|18:10|7:10|18:50|檀香山,泉山营房,建筑学院西门,森林公园东门,金山花园,金泰小区,泰山西坡,文化城,康居小区,康居小区东,凤鸣路,市四院,和平路,戏马台,中国人寿,公园巷小学,百惠家美时,徐州站（朝阳）,四道街
